sma_fast,sma_slow,total_return,cagr,sharpe,max_drawdown,trades
10,200,6.785083293914795,0.0821613073348999,0.7668483711626327,-0.20338213443756104,45
100,300,8.837985038757324,0.09195005893707275,0.720300119679247,-0.33717256784439087,13
20,175,6.31533145904541,0.07957303524017334,0.7167617033175393,-0.266684353351593,37
30,175,6.613767623901367,0.08123517036437988,0.7071617257964341,-0.31615710258483887,33
40,225,7.23859977722168,0.08452141284942627,0.7069784712047885,-0.3371726870536804,21
40,250,7.24055290222168,0.08453130722045898,0.7017945671107119,-0.3371725082397461,19
30,200,6.490875720977783,0.0805584192276001,0.7013944280001153,-0.33302372694015503,25
50,225,7.231633186340332,0.08448612689971924,0.7008170863967982,-0.3371725082397461,21
20,200,6.167716026306152,0.07872664928436279,0.6972706153735436,-0.341308057308197,37
10,75,5.559463024139404,0.07505226135253906,0.6971013547143571,-0.2643519639968872,105
10,225,5.51037073135376,0.07474160194396973,0.6959351457634502,-0.21629655361175537,49
50,250,7.189702987670898,0.08427298069000244,0.694903766189674,-0.33717238903045654,19
20,225,6.08524751663208,0.0782463550567627,0.6901226380432155,-0.3333398103713989,33
70,225,7.1080732345581055,0.08385515213012695,0.6875061985354876,-0.3371726870536804,21
100,275,7.652961730957031,0.08657097816467285,0.6865554117839587,-0.33717256784439087,15
60,225,6.777185440063477,0.08211898803710938,0.6789167027827736,-0.3371725082397461,21
40,275,6.82451057434082,0.08237159252166748,0.6751010108715237,-0.3371724486351013,17
30,225,6.038004398345947,0.07796883583068848,0.6744991475670473,-0.35965508222579956,27
90,300,7.316070556640625,0.08491194248199463,0.674446002802135,-0.3371726870536804,13
10,250,5.3123297691345215,0.07346498966217041,0.672985170528459,-0.2062056064605713,41
50,200,6.512516021728516,0.08067846298217773,0.6727058632490696,-0.3371727466583252,27
10,100,4.934226036071777,0.07091677188873291,0.6722230955510037,-0.2192896008491516,85
80,250,6.898655414581299,0.08276450634002686,0.6702051858628515,-0.3371725082397461,17
80,300,7.133898735046387,0.08398783206939697,0.6701889027765303,-0.33717262744903564,13
10,175,4.9019951820373535,0.07069242000579834,0.6694222332885482,-0.22179901599884033,59
40,175,6.048847675323486,0.0780327320098877,0.6676878535542607,-0.33717262744903564,27
10,300,5.642247676849365,0.07557117938995361,0.6634542418348365,-0.2731223702430725,29
60,300,6.850101470947266,0.08250761032104492,0.6632065934856621,-0.33717262744903564,15
10,275,5.223006725311279,0.0728764533996582,0.6584429328225934,-0.2397780418395996,35
20,300,6.1710524559021,0.07874596118927002,0.6584088627967151,-0.30854135751724243,21
70,200,6.34755802154541,0.07975566387176514,0.6556547720481107,-0.33717262744903564,25
50,275,6.283873558044434,0.07939398288726807,0.6514744286223824,-0.33717256784439087,19
70,300,6.578793525695801,0.08104372024536133,0.6512197758119029,-0.33717256784439087,15
100,250,6.524405002593994,0.08074414730072021,0.6493580813426288,-0.33717256784439087,15
100,225,6.468788146972656,0.08043575286865234,0.6485200047569144,-0.33717262744903564,21
40,200,5.749532699584961,0.07623445987701416,0.6482042483621288,-0.33717262744903564,27
60,250,6.1107072830200195,0.07839524745941162,0.6481490541698065,-0.33717262744903564,19
50,150,5.628838539123535,0.07548761367797852,0.6450724856164979,-0.33717262744903564,39
80,225,6.160714149475098,0.07868599891662598,0.6449552010664192,-0.3371727466583252,21
10,125,4.496449947357178,0.0677638053894043,0.6438602799033281,-0.3015769124031067,75
80,200,6.175297737121582,0.07877051830291748,0.6433763541809987,-0.3371726870536804,25
80,275,6.241756439208984,0.07915318012237549,0.6414786758734143,-0.3371726870536804,15
90,275,6.275992393493652,0.07934904098510742,0.6399304110375694,-0.33717256784439087,15
30,275,5.705891132354736,0.07596588134765625,0.6363468949781403,-0.38411951065063477,19
20,250,5.1418681144714355,0.072334885597229,0.6329233847938573,-0.2910977005958557,31
