Date,price,sma_fast,sma_slow,signal,position,daily_return,strategy_return,equity,buy_hold_equity
2000-01-03,91.61707305908203,,,0,0,0.0,0.0,100000.0,100000.0
2000-01-04,88.0342788696289,,,0,0,-0.03910618479530181,-0.0,100000.0,96089.38152046982
2000-01-05,88.1917495727539,,,0,0,0.0017887430344967203,0.0,100000.0,96261.26073235366
2000-01-06,86.77437591552734,,,0,0,-0.01607149947804698,-0.0,100000.0,94714.1979307375
2000-01-07,91.81389617919922,,,0,0,0.05807613377222931,0.0,100000.0,100214.83235989242
2000-01-10,92.12889862060547,,,0,0,0.0034308797961415394,0.0,100000.0,100558.65740350969
2000-01-11,91.0264892578125,,,0,0,-0.011965945314648563,-0.0,100000.0,99355.37800810482
2000-01-12,90.12097930908203,,,0,0,-0.009947763075491278,-0.0,100000.0,98367.01424740431
2000-01-13,91.34147644042969,,,0,0,0.01354287470802773,0.0,100000.0,99699.18639675967
2000-01-14,92.5816650390625,90.36308822631835,,0,0,0.013577496740395212,0.0,100000.0,101052.85177508174
2000-01-18,91.853271484375,90.38670806884765,,0,0,-0.007867578903232864,-0.0,100000.0,100257.8104903446
2000-01-19,92.60134887695312,90.84341506958008,,0,0,0.008144265092456582,0.0,100000.0,101074.33667656723
2000-01-20,91.18399047851562,91.14263916015625,,0,0,-0.015306023245091782,-0.0,100000.0,99527.29052991344
2000-01-21,90.98709106445312,91.56391067504883,,0,0,-0.002159363864524977,-0.0,100000.0,99312.37489520908
2000-01-24,88.40830993652344,91.22335205078124,,0,0,-0.028342274687108482,-0.0,100000.0,96497.63628609997
2000-01-25,89.41232299804688,90.95169448852539,,0,0,0.011356546259557732,0.0,100000.0,97593.51615652103
2000-01-26,88.70359802246094,90.71940536499024,,0,0,-0.007926479838818445,-0.0,100000.0,96819.94311830697
2000-01-27,88.34928131103516,90.54223556518555,,0,0,-0.003994389397102727,-0.0,100000.0,96433.2065640871
2000-01-28,85.59325408935547,89.96741333007813,,0,0,-0.031194676185050674,-0.0,100000.0,93425.0039118343
2000-01-31,87.91612243652344,89.50085906982422,,0,0,0.027138451176806466,0.0,100000.0,95960.41381918857
2000-02-01,88.78231811523438,89.19376373291016,,0,0,0.009852523686270764,0.0,100000.0,96905.86606928648
2000-02-02,88.86105346679688,88.81973419189453,,0,0,0.0008868359515044055,0.0,100000.0,96991.80567522839
2000-02-03,90.19967651367188,88.72130279541015,,0,0,0.015064226617290455,0.0,100000.0,98452.91221594022
2000-02-04,89.82567596435547,88.60516128540038,,0,0,-0.004146362423591565,-0.0,100000.0,98044.69076023488
2000-02-07,89.68785858154297,88.73311614990234,,0,0,-0.001534276044492966,-0.0,100000.0,97894.26313991174
2000-02-08,90.90834045410156,88.88271789550781,,0,0,0.013608105844660656,0.0,100000.0,99226.41863430472
2000-02-09,88.99889373779297,88.91224746704101,,0,0,-0.021004087268237437,-0.0,100000.0,97142.25827799513
2000-02-10,89.17606353759766,88.99492568969727,,0,0,0.00199069665210283,0.0,100000.0,97335.63904632683
2000-02-11,87.36493682861328,89.17209396362304,,0,0,-0.020309561076563787,-0.0,100000.0,95358.7949401891
2000-02-14,87.87677001953125,89.16815872192383,,0,0,0.005858565340945088,0.0,100000.0,95917.46067117997
2000-02-15,88.87094116210938,89.17702102661133,,0,0,0.011313241740190882,0.0,100000.0,97002.59809085829
2000-02-16,87.56182861328125,89.04709854125977,,0,0,-0.014730490436015264,-0.0,100000.0,95573.70224741226
2000-02-17,87.1090316772461,88.73803405761718,,0,0,-0.005171168112933611,-0.0,100000.0,95079.47456591543
2000-02-18,85.23887634277344,88.27935409545898,,0,0,-0.021469132401814583,-0.0,100000.0,93038.20073776483
2000-02-22,85.0223388671875,87.81280212402343,,0,0,-0.0025403605124399986,-0.0,100000.0,92801.85016646216
2000-02-23,86.02633666992188,87.32460174560546,,0,0,0.011808635425834435,0.0,100000.0,93897.71338192081
2000-02-24,84.29400634765625,86.8541130065918,,0,0,-0.02013720901440308,-0.0,100000.0,92006.87550157456
2000-02-25,83.98884582519531,86.33539123535157,,0,0,-0.003620192415607293,-0.0,100000.0,91673.79290870004
2000-02-28,85.75074005126953,86.1739715576172,,0,0,0.02097771684755889,0.0,100000.0,93596.8997786805
2000-02-29,86.5775375366211,86.04404830932617,,0,0,0.009641869969369665,0.0,100000.0,94499.34891588267
2000-03-01,87.20745086669922,85.87769927978516,,0,0,0.007275713169962561,0.0,100000.0,95186.89907334284
2000-03-02,87.26653289794922,85.84816970825196,,0,0,0.0006774883414526478,0.0,100000.0,95251.38708772406
2000-03-03,88.90039825439453,86.0273063659668,,0,0,0.01872270276116028,0.0,100000.0,97034.75049575572
2000-03-06,88.0342788696289,86.30684661865234,,0,0,-0.009742581605620804,-0.0,100000.0,96089.38152046977
2000-03-07,86.3314437866211,86.4377571105957,,0,0,-0.019342863994257997,-0.0,100000.0,94230.73768242696
2000-03-08,86.22319030761719,86.45744247436524,,0,0,-0.0012539287454924608,-0.0,100000.0,94112.579051738
2000-03-09,88.74293518066406,86.90233535766602,,0,0,0.029223517061444992,0.0,100000.0,96862.87961135306
2000-03-10,88.27049255371094,87.33050003051758,,0,0,-0.005323720992452152,-0.0,100000.0,96347.20866577674
2000-03-13,87.3058853149414,87.48601455688477,,0,0,-0.010927856080360954,-0.0,100000.0,95294.34023573261
2000-03-14,86.06571960449219,87.43483276367188,,0,0,-0.014204835172056618,-0.0,100000.0,93940.69983985415
2000-03-15,88.07362365722656,87.52145004272461,,0,0,0.023329893271810453,0.0,100000.0,96132.32634099713
2000-03-16,92.18795013427734,88.01359176635742,,0,0,0.04671462699279094,0.0,100000.0,100623.11210796607
2000-03-17,92.79719543457031,88.403271484375,,0,0,0.006608730310258215,0.0,100000.0,101288.1031188665
2000-03-20,92.3235855102539,88.8322021484375,,0,0,-0.005103709461244832,-0.0,100000.0,100771.1580686672
2000-03-21,94.21817779541016,89.62087554931641,,0,0,0.02052121648747951,0.0,100000.0,102839.10481908833
2000-03-22,94.79052734375,90.47760925292968,,0,0,0.006074725299640926,0.0,100000.0,103463.82413092528
2000-03-23,96.40884399414062,91.24420013427735,,0,0,0.01707255667564689,0.0,100000.0,105230.21613227965
2000-03-24,96.98117065429688,92.11526794433594,,0,0,0.005936453923159002,0.0,100000.0,105854.91046167299
2000-03-27,95.95491027832031,92.98017044067383,,0,0,-0.01058205803304657,-0.0,100000.0,104734.74765608461
2000-03-28,95.4023208618164,93.91383056640625,,0,0,-0.0057588445958742795,-0.0,100000.0,104131.5965205451
2000-03-29,95.5009994506836,94.65656814575195,,0,0,0.0010343415964704228,0.0,100000.0,104239.30416233318
2000-03-30,93.90240478515625,94.82801361083985,,0,0,-0.016739035975773753,-0.0,100000.0,102494.43869987027
2000-03-31,94.96815490722656,95.04510955810547,,0,0,0.011349550892851834,0.0,100000.0,103657.70454812872
2000-04-03,95.52075958251953,95.36482696533203,,0,0,0.005818841861598756,0.0,100000.0,104260.87233863062
2000-04-04,94.81026458740234,95.42403564453124,,0,0,-0.00743812128612098,-0.0,100000.0,103485.36732477912
2000-04-05,94.21817779541016,95.36680068969727,,0,0,-0.006244965084411969,-0.0,100000.0,102839.10481908832
2000-04-06,95.03719329833984,95.2296356201172,,0,0,0.00869275464770869,0.0,100000.0,103733.05992547063
2000-04-07,95.63912963867188,95.09543151855469,,0,0,0.006333692309730132,0.0,100000.0,104390.07320938536
